k,h,acuracia,distancia_centroides_q1_q2,indice_fisher_q1_q2,acuracia_logreg_q1_q2,entropia_q1_q2,entropia_condicional_q1_q2,angulo_vetores_classes_q1_q2,score_entropia_mais_inverso_angulo,razao_intra_interclasse_q1_q2,q1_eq_q2_proximos,comprimento_fronteira_logreg_q1_q2,mutual_information_q1_q2_y,desvio_projecao_centroide_q1_q2,diferenca_inclinacao_media_q1_q2,curvatura_fronteira_q1_q2,diferenca_skew_q1_q2,proporcao_baixa_margem_q1_q2,distancia_media_signed_q1_q2,media_cosseno_direcao_separacao_q1_q2,reversoes_fluxo_direcional_q1_q2,energia_repulsao_entre_classes_q1_q2,mudancas_classe_orbita_q1_q2,dominancia_media_anular_q1_q2,n_componentes_conexos_q1_q2,variancia_pca_q1_q2,mudancas_classe_espiral_q1_q2,desequilibrio_quadrantes_q1_q2,mudancas_angulo_classe_q1_q2,distancia_centros_gravitacionais_q1_q2,indice_silhueta_q1_q2,lda_separabilidade_q1_q2
1,0.037275937203149416,0.8912280701754387,6.038186989440996,1.9177661110319074e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,5.824979385343618,1.3223918549868778,2.9194183279385117,90.0,36,,0.0,0.7693647745772804,0.2548330403918933,0,12534.01836188741,0,1.0,2,0.9999999999999969,2,0,0,6.038186989440986,1.0,36459702.11945452
1,0.05179474679231213,0.8912280701754387,4.345596667202656,2.8163036047992773e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,4.176239012464971,1.3223918549868778,2.1010635441143246,90.0,36,,0.0,0.5537008055750295,0.25483304036406584,0,17415.84970050801,0,1.0,2,1.0,2,0,0,4.345596667202648,1.0,18884210.394002836
1,0.07196856730011521,0.8912280701754387,3.1274636620273117,1.4396432195730237e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,2.993690906416871,1.3223918549868778,1.5121053307641044,90.0,36,,0.0,0.39849053690154523,0.2548330403103397,0,24199.027798826934,2,1.0,2,1.0,4,0,0,3.127463662027288,1.0,9781028.957301283
1,0.1,0.8912280701754387,2.2507907903927706,2.777078038055022e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,2.1262571464717217,1.3223918549868778,1.0882405426195938,90.0,35,,0.0,0.286787930234579,0.2548330402066106,0,33624.021353249824,2,1.0,2,1.0,4,0,0,2.2507907903927684,1.0,5066059.182116913
1,0.13894954943731389,0.8912280701754387,1.6198618847686073,1.1041510354214356e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,1.5252383948988566,1.3223918549868778,0.7831911273023205,90.0,36,,0.0,0.20639716457948026,0.2548330400063413,0,46719.61773397582,2,1.0,2,0.9999999999999948,4,0,0,1.6198618847686148,1.0,2623952.5257261046
1,0.19306977288832516,0.8912280701754387,1.1657913907086148,2.1514306833685297e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,1.0861318738787697,1.3223918549868778,0.5636514335411017,90.0,35,,0.0,0.1485410822959128,0.25483303961968157,0,64915.137553250766,2,1.0,2,1.0,4,0,0,1.1657913907086146,1.0,1359069.5666503264
1,0.26826957952797276,0.8912280701754387,0.8390033616010785,4.310136893337402e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.7713224831966565,1.3223918549868778,0.4056518612860918,90.0,35,,0.0,0.10690288878045351,0.2548330388731588,0,90196.27791216125,2,1.0,2,1.0,4,0,0,0.839003361601081,1.0,703926.64077791
1,0.3727593720314942,0.8912280701754387,0.6038186989441036,5.659818128975179e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.5443478629724565,1.3223918549868778,0.2919418327938511,90.0,35,,0.0,0.07693647745772803,0.2548330374318485,0,125321.5045871675,2,1.0,2,1.0,4,0,0,0.6038186989441017,1.0,364597.02119455
1,0.5179474679231213,0.8912280701754387,0.4345596667202657,2.7729758570331354e+29,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.3810312801492489,1.3241493242311662,0.2101063544114325,90.0,33,,0.0,0.05537008055750295,0.25483303464911433,0,174122.43599935336,2,1.0,2,1.0,4,0,0,0.4345596667202646,1.0,188842.1039400284
1,0.7196856730011522,0.8912280701754387,0.3127463662027283,6.951273737781644e+28,1.0,0.0,0.0,90.0,0.0,0.0,0.0,0.26131820020812,1.3223918549868778,0.15121053307641039,90.0,31,2.0,0.0,0.03984905369015451,0.254833029276496,0,241920.66194866982,2,1.0,2,0.9999999999999901,4,0,0,0.31274636620272966,1.0,97810.28957301103
